Open,High,Low,Close,ListID
4.3,4.4,4.18,4.35,1
4.37,4.57,4.23,4.38,1
4.4,4.57,4.17,4.3,1
4.29,4.36,3.52,3.8,1
3.78,4.04,3.01,3.37,1
3.39,3.45,2.4,3.04,1
3.03,3.64,2.9,3.48,1
3.49,3.69,3.35,3.59,1
3.59,3.78,3.12,3.37,1
3.37,3.41,2.94,3.33,1
3.28,3.49,3.28,3.41,1
3.4,3.44,3.29,3.42,1
3.41,3.63,3.37,3.44,1
3.46,3.48,3.3,3.35,1
3.36,3.42,3.22,3.27,1
3.26,3.37,3.2,3.28,1
3.28,3.33,2.78,2.82,1
2.82,3.04,2.64,2.94,1
2.93,2.97,2.69,2.92,1
2.89,3.34,2.87,3.19,1
3.2,3.36,3.13,3.29,1
3.3,3.41,3.19,3.3,1
3.31,3.32,3.15,3.18,1
3.19,3.22,3.04,3.09,1
3.09,3.14,3.03,3.12,1
3.12,3.19,3.09,3.18,1
3.17,3.19,3.04,3.18,1
3.19,3.2,3.05,3.12,1
3.12,3.33,3.09,3.25,1
3.23,3.26,3.02,3.1,1
3.1,3.13,3.02,3.09,1
3.09,3.12,3.02,3.1,1
3.08,3.09,2.88,2.97,1
2.97,2.99,2.69,2.96,1
2.94,2.97,2.8,2.83,1
2.83,2.86,2.56,2.73,1
2.73,2.75,2.61,2.73,1
2.7,2.9,2.7,2.87,1
2.87,2.99,2.81,2.86,1
2.88,2.91,2.74,2.75,1
2.78,2.79,2.51,2.6,1
2.6,2.66,2.54,2.56,1
2.55,2.59,2.07,2.38,1
2.38,2.58,2.26,2.49,1
2.49,2.5,2.18,2.4,1
2.41,2.45,2.31,2.38,1
2.4,2.49,2.23,2.27,1
2.27,2.29,2.09,2.13,1
2.14,2.21,2.05,2.11,1
2.09,2.15,2.02,2.13,1
2.14,2.29,2.09,2.28,1
2.28,2.37,2.19,2.31,1
2.3,2.34,2.25,2.3,1
2.3,2.4,2.27,2.29,1
2.33,2.87,2.27,2.87,1
2.86,3.58,2.66,2.92,1
2.9,3.34,2.9,3.12,1
3.13,3.15,2.71,2.87,1
2.85,2.91,2.77,2.82,1
2.81,2.95,2.75,2.86,1
2.88,3.03,2.84,3.02,1
3.04,3.04,2.67,2.75,1
2.76,2.93,2.7,2.79,1
2.79,3,2.77,2.98,1
3.01,3.3,2.88,2.95,1
2.95,3.03,2.81,2.83,1
2.85,3.03,2.61,2.62,1
2.68,2.78,2.49,2.73,1
2.71,2.72,2.33,2.43,1
2.42,2.62,2.37,2.52,1
2.46,2.66,2.38,2.66,1
2.71,2.74,2.49,2.61,1
