volume,market_cap,capitalization_change_1_day,CryptoID,crypto_type,max_supply,minable,BTC_price_change_1_day,price_btc,USD_price_change_1_day,price_usd,trade_date
36278900,6529299589,0,17,0,21000000,1,0,1,0,434.33,1/1/2016
30096600,6517390487,-0.001823948,17,0,21000000,1,0,1,-0.002049133,433.44,1/2/2016
39633800,6467429942,-0.007665728,17,0,21000000,1,0,1,-0.007913437,430.01,1/3/2016
38477500,6515713340,0.007465624,17,0,21000000,1,0,1,0.007162624,433.09,1/4/2016
34522600,6500393256,-0.002351252,17,0,21000000,1,0,1,-0.002609157,431.96,1/5/2016
34042500,6458942098,-0.006376715,17,0,21000000,1,0,1,-0.006597833,429.11,1/6/2016
87562200,6896279078,0.067710311,17,0,21000000,1,0,1,0.067441915,458.05,1/7/2016
56993000,6825700454,-0.010234305,17,0,21000000,1,0,1,-0.010522869,453.23,1/8/2016
32278000,6742767343,-0.012150125,17,0,21000000,1,0,1,-0.012399885,447.61,1/9/2016
35995900,6750440386,0.001137966,17,0,21000000,1,0,1,0.000848953,447.99,1/10/2016
40450000,6758931030,0.001257791,17,0,21000000,1,0,1,0.000982165,448.43,1/11/2016
115607000,6568800100,-0.028130326,17,0,21000000,1,0,1,-0.028410231,435.69,1/12/2016
173888000,6520360056,-0.007374261,17,0,21000000,1,0,1,-0.007620097,432.37,1/13/2016
43945500,6490638885,-0.00455821,17,0,21000000,1,0,1,-0.004764438,430.31,1/14/2016
153351008,5496598039,-0.153149923,17,0,21000000,1,0,1,-0.153331319,364.33,1/15/2016
120352000,5848063566,0.063942374,17,0,21000000,1,0,1,0.063705981,387.54,1/16/2016
45319600,5770478451,-0.013266804,17,0,21000000,1,0,1,-0.013521185,382.3,1/17/2016
54403900,5845656048,0.013027966,17,0,21000000,1,0,1,0.012738687,387.17,1/18/2016
46819800,5740934168,-0.017914479,17,0,21000000,1,0,1,-0.01813157,380.15,1/19/2016
121720000,6347836794,0.10571496,17,0,21000000,1,0,1,0.105432066,420.23,1/20/2016
68338000,6198658815,-0.023500601,17,0,21000000,1,0,1,-0.023725103,410.26,1/21/2016
91546600,5780764155,-0.067416948,17,0,21000000,1,0,1,-0.067688783,382.49,1/22/2016
56247400,5858059876,0.013371194,17,0,21000000,1,0,1,0.013072237,387.49,1/23/2016
54824800,6093787908,0.040239949,17,0,21000000,1,0,1,0.039949418,402.97,1/24/2016
59062400,5925345408,-0.027641674,17,0,21000000,1,0,1,-0.027892895,391.73,1/25/2016
58147000,5933372928,0.001354777,17,0,21000000,1,0,1,0.001072167,392.15,1/26/2016
47424400,5977545745,0.007444807,17,0,21000000,1,0,1,0.007191126,394.97,1/27/2016
59247900,5756710303,-0.036944166,17,0,21000000,1,0,1,-0.03716738,380.29,1/28/2016
86125296,5745985821,-0.001862953,17,0,21000000,1,0,1,-0.002156249,379.47,1/29/2016
30284400,5729296096,-0.002904589,17,0,21000000,1,0,1,-0.003188658,378.26,1/30/2016
37894300,5587253351,-0.024792355,17,0,21000000,1,0,1,-0.025088563,368.77,1/31/2016
51656700,5653747618,0.011901065,17,0,21000000,1,0,1,0.011633267,373.06,2/1/2016
40378700,5676528707,0.004029378,17,0,21000000,1,0,1,0.003725942,374.45,2/2/2016
45933400,5609971377,-0.011725005,17,0,21000000,1,0,1,-0.012017626,369.95,2/3/2016
69285504,5909517630,0.053395326,17,0,21000000,1,0,1,0.053088255,389.59,2/4/2016
43825000,5865136968,-0.007510031,17,0,21000000,1,0,1,-0.007803075,386.55,2/5/2016
49249300,5714879155,-0.025618807,17,0,21000000,1,0,1,-0.025947484,376.52,2/6/2016
37076300,5718023735,0.000550244,17,0,21000000,1,0,1,0.00026559,376.62,2/7/2016
47671100,5671240831,-0.008181656,17,0,21000000,1,0,1,-0.008416972,373.45,2/8/2016
55318500,5712106127,0.007205706,17,0,21000000,1,0,1,0.006908555,376.03,2/9/2016
85130896,5799042060,0.015219593,17,0,21000000,1,0,1,0.014945616,381.65,2/10/2016
